Identification,Site,Sea Ice Type,Ice Or Snow Depth,Minimum Ice Or Snow Depth,Maximum Ice Or Snow Depth,Chlorophyll A Concentration ,Areal Chlorophyll A,Salinity,Ice Or Snow Temperature,Brine Volume,Texture,Sea Ice Type Portion
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.065,0,0.13,0.0281,0.0036,0,-10.821,0,mp,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.18,0.13,0.23,0.1734,0.0173,0.014,-10.327,0.007,columnar,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.28,0.23,0.33,0.1543,0.0154,0.2717,-9.897,0.149,columnar,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.38,0.33,0.43,0.1623,0.0162,0.8355,-9.468,0.474,columnar,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.48,0.43,0.53,0.0544,0.0054,1.7944,-9.038,1.057,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.58,0.53,0.63,0.0752,0.0075,2.5917,-8.608,1.589,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.68,0.63,0.73,0.0381,0.0038,3.0348,-8.179,1.94,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.78,0.73,0.83,0.0753,0.0075,3.5614,-7.749,2.382,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.88,0.83,0.93,0.1142,0.0114,4.1695,-7.32,2.927,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,0.98,0.93,1.03,0.0956,0.0096,3.7399,-6.89,2.761,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.08,1.03,1.13,0.1853,0.0185,4.0117,-6.46,3.131,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.18,1.13,1.23,0.2141,0.0214,4.5033,-6.031,3.734,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.28,1.23,1.33,0.1792,0.0179,4.3957,-5.601,3.89,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.38,1.33,1.43,0.2105,0.021,4.3126,-5.172,4.099,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.48,1.43,1.53,0.2305,0.0231,3.9857,-4.742,4.098,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.58,1.53,1.63,0.322,0.0322,3.7343,-4.312,4.192,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.68,1.63,1.73,0.3063,0.0306,4.2011,-3.883,5.212,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.78,1.73,1.83,0.5716,0.0572,4.4225,-3.453,6.146,mixed,upper multi-year portion of MYI (MY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.88,1.83,1.93,0.7249,0.0725,2.8048,-3.024,4.427,columnar,lower first-year portion of MYI (FY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,1.98,1.93,2.03,0.691,0.0691,1.8577,-2.594,3.414,columnar,lower first-year portion of MYI (FY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,2.08,2.03,2.13,0.6639,0.0664,3.1943,-2.164,7.107,columnar,lower first-year portion of MYI (FY)
1_10,1,http://purl.obolibrary.org/obo/ENVO_03000073,2.18,2.13,2.23,0.5391,0.0539,3.7403,-1.735,10.519,columnar,lower first-year portion of MYI (FY)
