dataset,dataset annotation,reference doi,reference title
global_chlorophyll_a,ENVO_00001999,https://doi.org/10.1016/j.pocean.2009.07.011,
,,https://doi.org/10.1002/2014JC010355,
,,https://doi.org/10.5194/bg-10-3297-2013,
,,https://doi.org/10.3402/polar.v34.23349,
,,https://doi.org/10.1029/2005JC003207,
,,https://doi.org/10.3390/rs61010089,
,,https://doi.org/10.3390/rs61010089,
,,https://doi.org/10.1016/j.dsr.2011.01.008,
,,https://doi.org/10.5194/essd-5-109-2013,
,,https://doi.org/10.3390/rs61010089,
,,https://doi.org/10.3390/rs61010089,
,,https://doi.org/10.5194/bg-9-1041-2012,
,,https://doi.org/10.5194/os-11-139-2015,
,,https://doi.org/10.1029/2003EO380001,
,,https://doi.org/10.5194/bgd-10-12115-2013,
,,https://doi.org/10.3390/rs61010089,
,,https://doi.org/10.3390/rs61010089,
,,https://doi.org/10.1016/j.dsr.2014.12.010,
influence_snow_depth,ENVO_00001999,https://doi.org/10.1002/2016JC012325,
