Water Depth,Date Time,Date Time End,Duration,Sample Label,Seston Flux,Calcium Carbonate Flux,Particulate Organic Carbon Flux,Particulate Organic Nitrogen Flux,Particulate Silicon Flux
300,2004-07-15,2004-07-22,7,1,12.54,3.49,1.9,0.23,0.13
300,2004-07-22,2004-07-29,7,2,17.89,3.28,7.18,0.4,0.06
300,2004-07-29,2004-08-05,7,3,292.88,44.9,49.37,7.1,16.92
300,2004-08-05,2004-08-15,10,4,232.72,40.48,41.97,4.02,5.51
300,2004-08-15,2004-08-31,16,5,45.55,13.3,13.87,1.49,0.19
300,2004-08-31,2004-09-15,15,6,69.33,24.2,12.25,1.66,2.34
300,2004-09-15,2004-09-30,15,7,23.1,6.85,6.46,0.68,0.35
300,2004-09-30,2004-10-15,15,8,11.29,5.15,2.29,0.37,0.06
300,2004-10-15,2004-10-31,16,9,7.99,4.3,1.14,0.17,0.05
300,2004-10-31,2004-11-30,30,10,20.42,3.01,1.14,0.18,0.61
300,2004-11-30,2005-01-15,46,11,40.16,4.25,4.03,0.6,1.15
300,2005-01-15,2005-02-28,44,12,17.27,1.99,6.55,0.67,0.14
300,2005-02-28,2005-03-31,31,13,32.14,15.31,7.61,0.7,0.07
300,2005-03-31,2005-04-15,15,14,30.53,14.62,4.82,0.6,0.36
300,2005-04-15,2005-04-30,15,15,29.89,14.43,3.62,0.43,1.03
300,2005-04-30,2005-05-15,15,16,15.53,2.85,3.05,0.36,0.63
300,2005-05-15,2005-05-31,16,17,9.84,1.41,2.19,0.36,0.39
300,2005-05-31,2005-06-15,15,18,12.8,1.62,3.75,0.35,0.42
